visited,place,lat,lon
1,Acadia,44.3386,-68.2733
1,Arches,38.7331,-109.5925
1,Badlands,43.8554,-102.3397
1,Black Canyon of the Gunnison,38.5754,-107.7416
1,Bryce Canyon,37.5930,-112.1871
1,Canyonlands,38.3269,-109.8783
1,Crater Lake,42.8684,-122.1685
1,Death Valley,36.5054,-117.0794
1,Grand Canyon,36.1070,-112.1130
1,Grand Teton,43.7904,-110.6818
1,Great Sand Dunes,37.7916,-105.5943
1,Haleakala,20.7204,-156.1552
1,Mesa Verde,37.2309,-108.4618
1,Redwood,41.2132,-124.0046
1,Rocky Mountain,40.3428,-105.6836
1,Yellowstone,44.4280,-110.5885
1,Zion,37.2982,-113.0263
0,Big Bend,29.1275,-103.2425
0,Biscayne,25.6937,-80.1628
0,Capitol Reef,38.3670,-111.2615
0,Carlsbad Caverns,32.1479,-104.5567
0,Channel Islands,34.0097,-119.8023
0,Congaree,33.7917,-80.7693
0,Cuyahoga Valley,41.2808,-81.5678
0,Denali,63.1148,-151.1926
0,Dry Tortugas,24.6333,-82.9200
0,Everglades,25.2866,-80.8987
0,Gates of the Arctic,67.9146,-153.4638
0,Glacier,48.7596,-113.7870
0,Glacier Bay,58.6658,-136.9002
0,Great Basin,38.9833,-114.3000
0,Great Smoky Mountains,35.6118,-83.4895
0,Guadalupe Mountains,31.9452,-104.8725
0,Hawaii Volcanoes,19.4194,-155.2885
0,Hot Springs,34.5217,-93.0424
0,Isle Royale,47.9959,-88.9093
0,Joshua Tree,33.8734,-115.9010
0,Katmai,58.5975,-154.6937
0,Kenai Fjords,60.0438,-149.8164
0,Kings Canyon,36.8879,-118.5551
0,Kobuk Valley,67.3356,-159.1243
0,Lake Clark,60.4127,-154.3235
0,Lassen Volcanic,40.4977,-121.4207
0,Mammoth Cave,37.1870,-86.1005
0,Mount Rainier,46.8800,-121.7269
0,North Cascades,48.7718,-121.2985
0,Olympic,47.8021,-123.6044
0,Petrified Forest,34.9100,-109.8068
0,Pinnacles,36.4906,-121.1825
0,Saguaro,32.2967,-111.1666
0,Sequoia,36.4864,-118.5658
0,Shenandoah,38.2928,-78.6796
0,Theodore Roosevelt,46.9790,-103.5387
0,Voyageurs,48.4841,-92.8271
0,Wind Cave,43.6046,-103.4213
0,Wrangell-St. Elias,61.7104,-142.9857
0,Yosemite,37.8651,-119.5383
0,American Samoa,20.336201,-161.699592
0,Virgin Islands,26.140402,-77.790599
